task_name,description,use_case,context,example_input,example_output
update_your_cvresume_with_recent_projects_swebench_dspy,"Update your CV/resume with recent projects (swebench, dspy).",General task automation,,,
draft_emails_to_prospective_advisors_to_inquire_about,Draft emails to prospective advisors to inquire about open positions.,Send email reminder or notification,,,
collect_all_transcripts_stanford_parttime_masters_etc,"Collect all transcripts (Stanford, part-time master’s, etc.).",General task automation,,,
create_a_plan_to_improve_your_gre_if,Create a plan to improve your GRE (if needed) or other standardized tests.,Build or generate content or application,,,
build_a_google_scholar_profile_if_you_havent,Build a Google Scholar profile if you haven’t already.,General task automation,,,
summarize_your_research_directions_in_a_1page_concept,Summarize your research directions in a 1-page concept paper.,Summarize documents or articles,,,
schedule_time_each_week_for_writing_your_phd,Schedule time each week for writing your PhD application essays.,Schedule tasks or events,,,
compile_a_reading_list_of_recent_papers_in,Compile a reading list of recent papers in your field (swebench/dspy).,General task automation,,,
draft_a_timeline_for_completing_application_essays_references,"Draft a timeline for completing application essays, references, and forms.",General task automation,,,
update_your_linkedin_with_aspiring_phd_in_your,Update your LinkedIn with “Aspiring PhD” in your headline.,General task automation,,,
check_scholarships_or_fellowship_opportunities_in_your_area,Check scholarships or fellowship opportunities in your area of research.,General task automation,,,
write_a_short_reflection_on_what_you_want,Write a short reflection on what you want from a PhD experience.,General task automation,,,
check_each_programs_application_portal_and_note_required,Check each program’s application portal and note required fields.,General task automation,,,
schedule_times_to_take_the_toefl_or_ielts,Schedule times to take the TOEFL or IELTS if relevant (for international apps).,Schedule tasks or events,,,
prepare_a_budget_for_application_fees_transcripts_and,"Prepare a budget for application fees, transcripts, and other expenses.",General task automation,,,
review_sample_phd_acceptance_essays_for_structure_and,Review sample PhD acceptance essays for structure and tone.,General task automation,,,
update_any_relevant_personal_websites_with_your_new,Update any relevant personal websites with your new academic info.,General task automation,,,
gather_older_research_notes_or_undergrad_projects_that,Gather older research notes or undergrad projects that might be relevant.,General task automation,,,
learn_about_each_departments_core_labs_and_research,Learn about each department’s core labs and research facilities.,General task automation,,,
draft_a_short_diversity_statement_if_required,Draft a short “diversity statement” if required.,General task automation,,,
create_a_progress_checklist_for_each_application,Create a progress checklist for each application.,Build or generate content or application,,,
check_if_your_parttime_masters_can_transfer_credits,Check if your part-time master’s can transfer credits to the PhD.,General task automation,,,
plan_campus_visits_or_virtual_tours_if_possible,Plan campus visits or virtual tours if possible.,Assist with planning,,,
prepare_questions_to_ask_potential_advisors_during_interviews,Prepare questions to ask potential advisors during interviews.,General task automation,,,
compile_a_digital_folder_of_all_personal_documents,"Compile a digital folder of all personal documents (passport, transcripts, etc.).",General task automation,,,
update_your_contact_info_in_all_school_portals,Update your contact info in all school portals.,General task automation,,,
check_your_parttime_masters_curriculum_for_synergy_with,Check your part-time master’s curriculum for synergy with PhD prep.,General task automation,,,
write_an_advisory_letter_explaining_your_unique_background,Write an “advisory” letter explaining your unique background.,General task automation,,,
make_sure_your_linkedin_has_a_link_to,Make sure your LinkedIn has a link to your personal website (belindamo.com).,General task automation,,,
prepare_for_potential_phonezoom_interviews_with_faculty,Prepare for potential phone/Zoom interviews with faculty.,General task automation,,,
draft_an_email_template_to_politely_follow_up,Draft an email template to politely follow up with letter writers.,Send email reminder or notification,,,
summarize_relevant_courses_youve_taken_that_align_with,Summarize relevant courses you’ve taken that align with the PhD field.,Summarize documents or articles,,,
check_if_your_working_experience_can_be_credited,Check if your working experience can be credited as research experience.,General task automation,,,
check_if_your_masters_research_can_be_leveraged,Check if your master’s research can be leveraged for your PhD statement.,General task automation,,,
create_a_short_elevator_pitch_about_your_research,Create a short elevator pitch about your research focus in case you meet faculty at events.,Build or generate content or application,,,
plan_out_your_next_steps_if_you_dont,Plan out your next steps if you don’t get into your top choices.,Assist with planning,,,
gather_any_official_proof_of_your_startups_work,Gather any official proof of your startup’s work if relevant to your application.,General task automation,,,
check_if_you_can_integrate_your_research_ideas,Check if you can integrate your research ideas into a lab’s ongoing project.,General task automation,,,
make_a_backup_plan_for_continuing_your_parttime,Make a backup plan for continuing your part-time master’s if PhD is delayed.,Back up or archive data,,,
gather_existing_literature_on_software_benchmarking_frameworks,Gather existing literature on software benchmarking frameworks.,General task automation,,,
check_if_swebench_can_integrate_with_popular_ci,Check if swebench can integrate with popular CI tools.,General task automation,,,
write_a_survey_of_the_top_5_existing,Write a survey of the top 5 existing solutions in software benchmarking.,General task automation,,,
draft_a_usage_example_for_dspys_main_module,Draft a usage example for dspy’s main module.,General task automation,,,
collect_realworld_data_sets_to_test_dspys_utility,Collect real-world data sets to test dspy’s utility.,General task automation,,,
plan_how_to_incorporate_gpu_acceleration_in_dspy,Plan how to incorporate GPU acceleration in dspy if relevant.,Assist with planning,,,
write_a_quick_blog_post_introducing_swebenchs_goals,Write a quick blog post introducing swebench’s goals.,Automate social media posting,,,
develop_a_test_suite_for_dspy_unit_tests,"Develop a test suite for dspy (unit tests, integration tests).",General task automation,,,
gather_feedback_from_5_developers_about_your_initial,Gather feedback from 5 developers about your initial swebench approach.,General task automation,,,
check_the_maintainability_and_extensibility_of_your_code,Check the maintainability and extensibility of your code structure.,General task automation,,,
draft_a_getting_started_guide_for_both_swebench,Draft a “getting started” guide for both swebench and dspy.,General task automation,,,
plan_a_versioning_strategy_semantic_versioning,Plan a versioning strategy (semantic versioning?).,Assist with planning,,,
write_an_installation_instructions_section_for_each_repo,Write an “installation instructions” section for each repo.,General task automation,,,
collect_references_for_benchmarking_in_hpc_contexts,Collect references for benchmarking in HPC contexts.,General task automation,,,
plan_a_small_hackathon_session_to_move_swebenchdspy,Plan a small hackathon session to move swebench/dspy forward.,Assist with planning,,,
write_a_short_paper_or_extended_abstract_for,Write a short paper or extended abstract for an academic workshop.,General task automation,,,
create_a_tutorial_notebook_showing_dspys_data_manipulation,Create a tutorial notebook showing dspy’s data manipulation features.,Build or generate content or application,,,
plan_a_modular_approach_so_dspy_can_be,Plan a modular approach so dspy can be installed in smaller pieces.,Assist with planning,,,
gather_open_datasets_for_dspys_demonstration_kaggle_uci,"Gather open datasets for dspy’s demonstration (Kaggle, UCI, etc.).",General task automation,,,
write_a_frequently_asked_questions_doc_for_each,Write a “Frequently Asked Questions” doc for each project.,General task automation,,,
draft_a_timeline_for_delivering_stable_alpha_releases,Draft a timeline for delivering stable alpha releases.,General task automation,,,
gather_license_disclaimers_and_contributor_license_agreements,Gather license disclaimers and contributor license agreements.,General task automation,,,
write_an_example_use_case_for_dspy_in,Write an example use case for dspy in real data science projects.,General task automation,,,
plan_a_blog_or_video_series_demonstrating_realworld,Plan a blog or video series demonstrating real-world use.,Assist with planning,,,
read_at_least_5_academic_papers_on_software,Read at least 5 academic papers on software performance metrics.,General task automation,,,
write_a_short_whos_using_swebenchdspy_section_if,Write a short “who’s using swebench/dspy” section if you get adopters.,General task automation,,,
prepare_an_official_release_notes_doc_for_version,Prepare an official “release notes” doc for version 0.1.,General task automation,,,
draft_a_minimal_working_example_to_test_installation,Draft a minimal working example to test installation.,General task automation,,,
write_a_hello_world_function_as_a_placeholder,Write a “hello world” function as a placeholder.,General task automation,,,
plan_a_semantic_versioning_approach_eg_0x_for,"Plan a semantic versioning approach (e.g., 0.x for alpha).",Assist with planning,,,
write_basic_instructions_in_your_readme_about_how,Write basic instructions in your README about how to install it (pip install yourmodule).,General task automation,,,
create_an_examples_folder_with_usage_demos,Create an examples folder with usage demos.,Build or generate content or application,,,
build_out_a_wiki_or_doc_site_read,Build out a wiki or doc site (Read the Docs) for more detailed usage.,General task automation,,,
gather_initial_user_feedback_for_improvements,Gather initial user feedback for improvements.,General task automation,,,
create_a_contributingmd_file_with_guidelines,Create a “CONTRIBUTING.md” file with guidelines.,Build or generate content or application,,,
check_if_your_modules_name_or_functionality_conflicts,Check if your module’s name or functionality conflicts with existing packages.,General task automation,,,
prepare_a_simple_mainpy_if_you_want_commandline,Prepare a simple __main__.py if you want command-line usage.,General task automation,,,
write_an_faq_for_common_installation_or_usage,Write an FAQ for common installation or usage errors.,General task automation,,,
draft_a_short_why_use_this_module_in,Draft a short “Why use this module?” in your docs.,General task automation,,,
write_a_small_test_pipeline_on_github_actions,Write a small “test pipeline” on GitHub Actions for multi-OS testing.,General task automation,,,
plan_a_second_release_with_newly_requested_features,Plan a second release with newly requested features.,Assist with planning,,,
write_up_a_lessons_learned_post_about_publishing,Write up a “lessons learned” post about publishing to PyPI.,Automate social media posting,,,
check_if_your_module_is_relevant_for_swebench,Check if your module is relevant for swebench or dspy synergy.,General task automation,,,
draft_an_opensource_roadmap_to_share_with_potential,Draft an open-source “roadmap” to share with potential contributors.,General task automation,,,
summarize_your_modules_architecture_in_a_highlevel_diagram,Summarize your module’s architecture in a high-level diagram.,Summarize documents or articles,,,
create_a_demo_script_that_uses_your_module,Create a “demo script” that uses your module in a bigger pipeline.,Build or generate content or application,,,
prepare_some_marketing_materials_if_you_want_wide,Prepare some marketing materials if you want wide adoption.,General task automation,,,
write_about_your_modules_storywhy_you_created_it,Write about your module’s story—why you created it.,Build or generate content or application,,,
gather_success_stories_or_user_references,Gather success stories or user references.,General task automation,,,
monitor_your_dependency_versions_to_avoid_vulnerabilities,Monitor your dependency versions to avoid vulnerabilities.,Monitor services or metrics,,,
write_an_automated_release_script_that_bumps_versions,"Write an automated release script that bumps versions, builds, and uploads.",General task automation,,,
create_a_public_roadmap_so_users_can_see,Create a public roadmap so users can see upcoming features.,Build or generate content or application,,,
write_a_short_blog_on_how_to_publish,"Write a short blog on how to publish a pip module, referencing your experience.",General task automation,,,
review_the_fundamentals_of_spaced_repetition_sr_algorithms,"Review the fundamentals of spaced repetition (SR) algorithms (Leitner, SM-2, etc.).",General task automation,,,
draft_an_outline_for_your_own_sr_algorithm,Draft an outline for your own SR algorithm improvements.,General task automation,,,
gather_research_papers_on_memory_retention_and_sr,Gather research papers on memory retention and SR.,General task automation,,,
read_at_least_3_academic_articles_about_forgetting,Read at least 3 academic articles about “forgetting curves.”,General task automation,,,
write_a_blog_post_on_spaced_repetition_for,Write a blog post on “Spaced Repetition for Busy Founders.”,Automate social media posting,,,
check_if_you_can_gather_user_data_to,Check if you can gather user data to refine your SR algorithm.,General task automation,,,
write_a_short_script_to_import_flashcard_data,Write a short script to import flashcard data from CSV or API.,General task automation,,,
check_out_spaced_repetition_in_language_apps_like,Check out spaced repetition in language apps like Duolingo or Babbel.,General task automation,,,
create_an_sr_roadmap_doc_with_your_goals,Create an “SR Roadmap” doc with your goals and timeline.,Build or generate content or application,,,
check_if_theres_a_synergy_between_your_sr,Check if there’s a synergy between your SR approach and health/fitness tracking.,General task automation,,,
write_a_small_tutorial_on_customizing_sr_intervals,Write a small tutorial on customizing SR intervals in Python.,General task automation,,,
summarize_the_difference_between_spaced_repetition_and_repeated,Summarize the difference between spaced repetition and repeated rereading.,Summarize documents or articles,,,
create_advanced_charts_to_track_your_sr_success,Create advanced charts to track your SR success over time.,Build or generate content or application,,,
research_user_motivation_tactics_badges_streaks_gamification,"Research user motivation tactics (badges, streaks, gamification).",General task automation,,,
write_up_a_code_snippet_for_an_sr,Write up a code snippet for an SR scheduling function.,General task automation,,,
gather_feedback_from_actual_memory_athletes_or_heavy,Gather feedback from actual memory athletes or heavy SR users.,General task automation,,,
check_out_memory_palace_techniques_for_possible_integration,Check out memory palace techniques for possible integration.,General task automation,,,
write_a_daily_sr_diary_record_successes_failures,"Write a daily SR diary: record successes, failures, modifications.",General task automation,,,
plan_a_minimal_mobile_app_for_daily_sr,Plan a minimal mobile app for daily SR notifications.,Assist with planning,,,
check_if_you_can_dynamically_adjust_intervals_based,Check if you can dynamically adjust intervals based on user self-assessment.,General task automation,,,
create_a_minimal_web_interface_to_track_daily,Create a minimal web interface to track daily progress.,Build or generate content or application,,,
check_out_memory_training_experiments_in_psychology,Check out memory training experiments in psychology.,General task automation,,,
write_up_a_user_manual_describing_best_practices,Write up a “user manual” describing best practices with your system.,General task automation,,,
summarize_how_your_algorithm_might_help_you_in,Summarize how your algorithm might help you in your upcoming PhD.,Summarize documents or articles,,,
write_a_concluding_blog_post_about_your_personal,Write a concluding blog post about your personal results using SR for 2+ months.,Automate social media posting,,,
prepare_a_short_talk_or_webinar_about_your,Prepare a short talk or webinar about your approach to SR.,General task automation,,,
plan_your_next_iteration_to_refine_intervals_or,Plan your next iteration to refine intervals or question formats based on user data.,Assist with planning,,,
plan_weekly_grocery_lists_with_healthy_food_options,Plan weekly grocery lists with healthy food options in SF.,Assist with planning,,,
find_a_reliable_local_produce_delivery_service,Find a reliable local produce delivery service.,General task automation,,,
schedule_a_monthly_friend_hangout_in_your_calendar,Schedule a monthly friend hangout in your calendar.,Schedule tasks or events,,,
book_a_weekend_hiking_trip_in_the_bay,Book a weekend hiking trip in the Bay Area.,General task automation,,,
check_your_fridge_for_expired_items_once_a,Check your fridge for expired items once a week.,General task automation,,,
update_your_personal_budget_and_track_expenses,Update your personal budget and track expenses.,General task automation,,,
clean_your_workspace_daily_for_improved_productivity,Clean your workspace daily for improved productivity.,General task automation,,,
organize_your_closet_for_the_sf_climate,Organize your closet for the SF climate.,Organize or categorize information,,,
research_local_farmers_markets_for_fresh_produce,Research local farmers’ markets for fresh produce.,General task automation,,,
plan_a_meal_prep_session_every_sunday,Plan a meal prep session every Sunday.,Assist with planning,every sunday,,
schedule_time_to_call_family_back_in_irvine,Schedule time to call family back in Irvine regularly.,Schedule tasks or events,,,
plan_a_small_gettogether_to_broaden_your_social,Plan a small get-together to broaden your social circle in SF.,Assist with planning,,,
research_local_coliving_or_coworking_spaces_for_startup,Research local co-living or co-working spaces for startup synergy.,General task automation,,,
arrange_weekly_or_biweekly_coffee_chats_with_potential,Arrange weekly or bi-weekly coffee chats with potential cofounders.,General task automation,,,
research_workout_classes_near_your_area_yoga_spin,"Research workout classes near your area (yoga, spin, etc.).",General task automation,,,
update_your_personal_website_belindamocom_with_a_current,Update your personal website (belindamo.com) with a current blog post.,Automate social media posting,,,
plan_daily_reading_time_tech_business_or_personal,"Plan daily reading time (tech, business, or personal dev).",Assist with planning,,,
organize_your_digital_photos_from_your_phone_or,Organize your digital photos from your phone or camera.,Organize or categorize information,,,
plan_a_day_trip_to_napa_or_a,Plan a day trip to Napa or a nearby scenic area.,Assist with planning,,,
schedule_an_eye_exam_or_general_health_checkup,Schedule an eye exam or general health check-up.,Schedule tasks or events,,,
create_a_personal_meal_plan_that_meets_macros,Create a personal meal plan that meets macros or dietary goals.,Build or generate content or application,,,
learn_a_new_skill_a_language_a_hobby,"Learn a new skill (a language, a hobby) for fun outside of work.",General task automation,,,
update_your_linkedin_with_personal_achievements_monthly,Update your LinkedIn with personal achievements monthly.,General task automation,,,
organize_your_workstation_cables_possibly_investing_in_better,"Organize your workstation cables, possibly investing in better cable management.",Organize or categorize information,,,
book_a_routine_dentist_appointment,Book a routine dentist appointment.,General task automation,,,
plan_a_dedicated_weekly_catchup_call_with_friends,Plan a dedicated weekly catch-up call with friends from Irvine or Stanford.,Assist with planning,,,
arrange_your_important_documents_passport_birth_certificate_in,"Arrange your important documents (passport, birth certificate) in a safe.",General task automation,,,
schedule_time_to_do_laundry_or_drop_off,Schedule time to do laundry or drop off at a laundromat if needed.,Schedule tasks or events,,,
research_local_doctors_or_specialists_you_might_need,Research local doctors or specialists you might need in SF.,General task automation,,,
book_a_new_haircut_or_grooming_appointment,Book a new haircut or grooming appointment.,General task automation,,,
book_a_therapy_or_mental_health_session_if,Book a therapy or mental health session if you find it beneficial.,General task automation,,,
review_your_monthly_credit_card_statements_for_errors,Review your monthly credit card statements for errors or insights.,General task automation,,,
check_your_mail_regularly_and_reduce_paper_clutter,Check your mail regularly and reduce paper clutter.,General task automation,,,
plan_a_selfcare_day_monthly_spa_reading_relaxation,"Plan a “self-care day” monthly (spa, reading, relaxation).",Assist with planning,,,
